iter	Logloss
0	0.5047311965
1	0.4641903437
2	0.4382149338
3	0.4236403035
4	0.4126270046
5	0.4056936161
6	0.3980067707
7	0.39338834
8	0.3892795248
9	0.3848118688
10	0.3812853796
11	0.3781320487
12	0.3750822217
13	0.3726704153
14	0.3697883227
15	0.3649092973
16	0.3616566655
17	0.3585634132
18	0.3561027752
19	0.3536003923
20	0.3513097175
21	0.3489012252
22	0.3457716271
23	0.3436827161
24	0.3419119202
25	0.3401748806
26	0.3386430895
27	0.3365528134
28	0.3347535116
29	0.3338427661
30	0.3321103942
31	0.330914728
32	0.3294213724
33	0.3285787534
34	0.3279547063
35	0.3263052183
36	0.3241845408
37	0.3223240104
38	0.3217037738
39	0.3201688074
40	0.3189050697
41	0.3175608869
42	0.3161973157
43	0.3150317594
44	0.3133981133
45	0.3120806956
46	0.3106976596
47	0.3086004712
48	0.3080538706
49	0.3075114885
50	0.3065191757
51	0.3060053941
52	0.3050925182
53	0.3045857098
54	0.3027232387
55	0.3020112137
56	0.3013509626
57	0.2995171368
58	0.2984751039
59	0.297169102
60	0.2967128637
61	0.2957000666
62	0.2947170524
63	0.2942940754
64	0.2930481503
65	0.2926274114
66	0.2922061741
67	0.2911977451
68	0.2902815243
69	0.2894270555
70	0.2884063883
71	0.2878910368
72	0.2874489538
73	0.2860865212
74	0.2853884047
75	0.2850107656
76	0.2834784936
77	0.2829610113
78	0.2819503109
79	0.2813237336
80	0.2809556538
81	0.2800273484
82	0.2796817535
83	0.2786550767
84	0.2782271373
85	0.2771323198
86	0.2768155559
87	0.2756509112
88	0.2752347536
89	0.2742643427
90	0.2732232428
91	0.2722056235
92	0.271235503
93	0.2707828414
94	0.2700648815
95	0.2690330512
96	0.2680541302
97	0.2670716743
98	0.2667390083
99	0.2663875845
