iter	Passed	Remaining
0	3939	390031
1	7471	366088
2	11271	364457
3	15297	367146
4	19204	364894
5	23067	361388
6	26938	357897
7	30763	353779
8	34365	347473
9	38124	343124
10	41994	339770
11	45863	336333
12	49746	332921
13	53896	331080
14	57771	327370
15	61628	323547
16	65867	321590
17	70163	319634
18	74089	315853
19	77839	311356
20	81668	307228
21	85724	303931
22	90712	303690
23	96322	305020
24	101304	303913
25	108085	307627
26	114695	310102
27	118638	305070
28	123331	301950
29	129062	301145
30	133691	297571
31	140004	297509
32	144547	293476
33	149714	290622
34	154187	286347
35	158547	281861
36	163332	278106
37	168707	275259
38	172877	270398
39	178224	267337
40	182676	262875
41	187595	259060
42	192169	254736
43	197234	251025
44	201893	246759
45	206408	242305
46	210582	237465
47	214602	232486
48	218863	227797
49	223836	223836
50	229385	220389
51	234060	216055
52	237901	210968
53	242765	206799
54	248260	203122
55	252913	198717
56	257799	194480
57	262813	190313
58	267072	185592
59	272773	181849
60	277557	177455
61	282062	172876
62	287483	168839
63	292910	164762
64	297065	159958
65	300992	155056
66	304954	150201
67	308897	145363
68	312754	140512
69	316737	135744
70	320319	130834
71	324225	126087
72	328183	121382
73	332153	116702
74	336205	112068
75	340123	107407
76	344085	102778
77	347935	98135
78	351929	93551
79	355782	88945
80	359604	84351
81	363066	79697
82	366522	75070
83	370504	70572
84	374408	66072
85	378626	61636
86	382765	57194
87	386724	52735
88	390645	48282
89	394695	43855
90	398576	39419
91	402643	35012
92	406612	30605
93	410468	26200
94	413911	21784
95	417406	17391
96	421015	13021
97	425193	8677
98	429216	4335
99	433068	0
